form_id,timestamp,type,number,block_name,link,sender
1,2024-10-13 12:15,intro_test,0,,https://forms.gle/hhUvdNQsyvYYNdA66,Корнієнко Сергій
2,2024-10-13 13:36,other,,,https://forms.gle/QL2hswmKFo6NKs5P7,Корнієнко Сергій
3,2024-10-20 15:41,other,,,https://forms.gle/SsUmsxAJazsU8TMc8,Корнієнко Сергій
4,2024-10-20 15:45,seminar,1,Тест 1,https://forms.gle/MXba9euKt7uiirCQ9,Корнієнко Сергій
5,2024-10-20 15:45,seminar,1,Тест 1,https://forms.gle/KjLVEhqrHw7K1YVZ6,Корнієнко Сергій
6,2024-10-20 15:45,seminar,1,Тест 1,https://forms.gle/LR2Au2g1eCeX6Hmx9,Корнієнко Сергій
7,2024-10-20 15:45,seminar,1,Тест 1,https://forms.gle/53WxPDrKyyNUcJwV7,Корнієнко Сергій
8,2024-10-20 15:45,seminar,1,Тест 1,https://forms.gle/q9yiHkcdYSUqvEkn8,Корнієнко Сергій
9,2024-10-20 15:45,seminar,1,Тест 1,https://forms.gle/wSqRpo64zRvz4mR77,Корнієнко Сергій
10,2024-10-27 15:03,seminar,2,5 % семінар 2 %,https://forms.gle/UjbdYhW7xv36BySdA,Корнієнко Сергій
11,2024-10-27 15:03,seminar,2,5 % семінар 2 %,https://forms.gle/uvnJ691jmqvCWDBw7,Корнієнко Сергій
12,2024-10-27 15:03,seminar,2,5 % семінар 2 %,https://forms.gle/rMmsS9x7M571ZYsF7,Корнієнко Сергій
13,2024-10-27 15:03,seminar,2,5 % семінар 2 %,https://forms.gle/dM3kLTkRMZKZLpRF7,Корнієнко Сергій
14,2024-10-27 15:03,seminar,2,5 % семінар 2 %,https://forms.gle/KDGxkDZT5ad8SGMv9,Корнієнко Сергій
15,2024-11-03 15:18,seminar,3,,https://forms.gle/QQSHVXQTRS3FowCf6,Корнієнко Сергій
16,2024-11-03 15:25,seminar,3,Частина 3,https://forms.gle/d5GaUjce4xfgZsMT7,Корнієнко Сергій
