module_id,period,game_type,technology,file_path,code_size_kb
quiz-1-1,1,quiz,Template-based,data/quiz/crstm-s-1-1.js,1.5
quiz-1-2,1,quiz,Template-based,data/quiz/crstm-s-1-2.js,2.2
quiz-1-3-1,1,quiz,Template-based,data/quiz/crstm-s-1-3-1.js,1.8
quiz-1-3,1,quiz,Template-based,data/quiz/crstm-s-1-3.js,2.3
quiz-1-4,1,quiz,Template-based,data/quiz/crstm-s-1-4.js,1.8
quiz-1-5-1,1,quiz,Template-based,data/quiz/crstm-s-1-5-1.js,1.5
quiz-1-5,1,quiz,Template-based,data/quiz/crstm-s-1-5.js,1.9
quiz-2-1,2,quiz,Template-based,data/quiz/crstm-s-2-1.js,1.8
quiz-2-2,2,quiz,Template-based,data/quiz/crstm-s-2-2.js,1.6
quiz-2-3,2,quiz,Template-based,data/quiz/crstm-s-2-3.js,1.6
quiz-2-4,2,quiz,Template-based,data/quiz/crstm-s-2-4.js,1.9
quiz-2-5,2,quiz,Template-based,data/quiz/crstm-s-2-5.js,1.7
quiz-3-1,3,quiz,Template-based,data/quiz/crstm-s-3-1.js,1.8
quiz-3-2,3,quiz,Template-based,data/quiz/crstm-s-3-2.js,2.0
quiz-3-3,3,quiz,Template-based,data/quiz/crstm-s-3-3.js,1.8
quiz-3-4,3,quiz,Template-based,data/quiz/crstm-s-3-4.js,1.6
quiz-3-5,3,quiz,Template-based,data/quiz/crstm-s-3-5.js,2.0
quiz-4-1,4,quiz,Template-based,data/quiz/crstm-s-4-1.js,2.1
quiz-4-2,4,quiz,Template-based,data/quiz/crstm-s-4-2.js,3.4
quiz-4-3,4,quiz,Template-based,data/quiz/crstm-s-4-3.js,2.3
quiz-4-4,4,quiz,Template-based,data/quiz/crstm-s-4-4.js,1.8
quiz-4-5,4,quiz,Template-based,data/quiz/crstm-s-4-5.js,1.5
quiz-omega,α,quiz,Template-based,data/quiz/crstm-s-omega.js,1.7
falling-period-1-starodavnia,?,falling-answer,Template-based,data/falling/period-1-starodavnia.js,1.4
falling-period-2-kyiv-rus,2,falling-answer,Template-based,data/falling/period-2-kyiv-rus.js,1.2
falling-period-3-lytva,3,falling-answer,Template-based,data/falling/period-3-lytva.js,1.3
falling-period-4-kozaky,4,falling-answer,Template-based,data/falling/period-4-kozaky.js,1.6
falling-period-5-imperium,?,falling-answer,Template-based,data/falling/period-5-imperium.js,1.5
falling-period-6-revolution,?,falling-answer,Template-based,data/falling/period-6-revolution.js,1.3
falling-period-7-radianskyi,?,falling-answer,Template-based,data/falling/period-7-radianskyi.js,1.4
falling-period-8-nezalezhnist,?,falling-answer,Template-based,data/falling/period-8-nezalezhnist.js,1.4
washhand-1,0,chronobiy-timeline,Three.js,games/narrative/washhand-1.html,63.1
new-makako-2,0,block-buster,Canvas,games/narrative/new-makako-2.html,22.1
compas,0,compass-navigation,DOM/Interactive,games/narrative/compas.html,5.5
los-elviros-1,0,solitaire-card,DOM/Drag-drop,games/narrative/los-elviros-1.html,31.9
shiwafornia-2,1,path-builder,DOM/Interactive,games/narrative/shiwafornia-2.html,26.8
shivafornia-3,1,image-quiz,DOM/Interactive,games/narrative/shivafornia-3.html,6.2
new-orlan-1,2,falling-answer,DOM/Falling,games/narrative/new-orlan-1.html,15.9
masachuchi,2,apple-catcher,Canvas,games/narrative/masachuchi/masachuchi.html,25.2
taxes-1,3,falling-answer,DOM/Falling,games/narrative/taxes-1.html,14.3
solitaire-v2,4,historical-solitaire,DOM/Drag-drop,games/narrative/solitaire-v2.html,33.2
new-makako-1,4,falling-answer,DOM/JS,games/narrative/new-makako-1/index.html,11.8
bobble-shooter,5,bubble-shooter,Canvas,games/narrative/bobble-shooter.html,29.4
tower-defense,5,tower-defense,Three.js,games/narrative/tower-defense.html,41.0
viraska,6,wordwall-embed,Wordwall,games/narrative/viraska.html,4.8
puzzle-phenikis,7,drag-drop-puzzle,DOM/Drag-drop,games/narrative/puzzle-phenikis.html,37.5
kafe-simulator,8,cafe-simulator,DOM/Interactive,games/narrative/kafe-simulator.html,38.1
totoronto,AR,ar-quiz,A-Frame,games/narrative/totoronto.html,6.3
kvebek,AR,ar-scene,A-Frame,ar/kvebek.html,8.1
kvebek-2,AR,ar-scene,A-Frame+AR.js,ar/kvebek-2.html,4.9
totoronto-2,AR,ar-poster,A-Frame+AR.js,ar/totoronto-2.html,7.8
usin-1,AR,ar-scene,A-Frame+AR.js,ar/usin/usin-1.html,5.1
usin-test,AR,ar-test,A-Frame+AR.js,ar/usin/usin-test.html,10.0
usin-blue-1,AR,ar-scene,A-Frame+AR.js,ar/usin-blue/usin-blue-1.html,3.3
usin-test,AR,ar-test,A-Frame+AR.js,ar/usin-blue/usin-test.html,11.9
usin-green-1,AR,ar-scene,A-Frame+AR.js,ar/usin-green/usin-green-1.html,2.9
usin-test,AR,ar-test,A-Frame+AR.js,ar/usin-green/usin-test.html,9.8
usin-indg-1,AR,ar-scene,A-Frame+AR.js,ar/usin-indg/usin-indg-1.html,3.0
usin-test,AR,ar-test,A-Frame+AR.js,ar/usin-indg/usin-test.html,9.5
usin-prsk-1,AR,ar-scene,A-Frame+AR.js,ar/usin-prsk/usin-prsk-1.html,4.0
usin-test,AR,ar-test,A-Frame+AR.js,ar/usin-prsk/usin-test.html,10.3
Yove_3,5,tower-defense-v2,Three.js+Canvas,data/games/Yove_3/index.html,37.6
pheniks_2,7,drag-drop-puzzle,DOM/Drag-drop,data/games/pheniks_2/pheniks_2.html,16.9
bobble-imperial,5,bobble-data,JS-data,data/games/bobble-imperial.js,1.3
kafe-independence,8,kafe-data,JS-data,data/games/kafe-independence.js,3.4
puzzle-soviet,7,puzzle-data,JS-data,data/games/puzzle-soviet.js,1.4
solitaire-v2-cossack,4,solitaire-data,JS-data,data/games/solitaire-v2-cossack.js,5.9
