seminar,filename,N,max_possible,mean_score,median_score,sd_score,min_score,max_score_achieved,mean_pct,median_pct
1,Семінар 1_1.xlsx,18,26.0,0,0,20.87,0,0,65.0,67.2
2,Семінар 2.2.xlsx,17,45.0,0,0,28.91,0,0,64.3,53.3
3,Семінар 3_0.xlsx,8,28.0,0,0,20.03,0,0,70.7,74.5
4,Семінар 4_0 .xlsx,14,12.0,0,0,22.05,0,0,77.3,80.2
5,Семінар 5_0 .xlsx,14,28.0,0,0,25.76,0,0,73.5,82.1
6,Семінар 6_0 .xlsx,13,17.0,0,0,21.19,0,0,63.7,60.9
7,Семінар 7_0.xlsx,18,21.0,0,0,14.54,0,0,80.9,76.8
9,Семінар 9_0.xlsx,20,23.0,0,0,22.87,0,0,63.5,69.2
10,Семінар 10_0.xlsx,9,13.0,0,0,30.09,0,0,81.0,91.8
11,Семінар 11_0.xlsx,7,13.0,0,0,8.08,0,0,86.2,84.6
12,Семінар 12_0 .xlsx,7,26.0,0,0,13.56,0,0,77.1,83.2
13,Семінар 13_0.xlsx,2,131.0,0,0,4.88,0,0,94.2,94.2
14,Семінар 14_0 .xlsx,8,16.0,0,0,28.11,0,0,80.0,90.7
15,Семінар 15_1.xlsx,13,27.0,0,0,20.93,0,0,71.2,81.5
16,Семінар 16_0 .xlsx,23,17.0,0,0,23.55,0,0,67.5,68.5
17,Семінар 17_0 .xlsx,27,5.0,0,0,18.46,0,0,75.2,80.0
18,Семінар 18_0.xlsx,7,22.0,0,0,35.83,0,0,53.2,50.0
19,Семінар 19_0 .xlsx,16,17.0,0,0,29.69,0,0,61.7,64.8
20,Семінар 20_0 .xlsx,8,25.0,0,0,27.95,0,0,66.8,76.1
21,Семінар 21_1 .xlsx,15,23.0,0,0,35.69,0,0,56.7,52.0
22,Семінар 22_0.xlsx,8,22.0,0,0,20.9,0,0,75.2,78.6
23,Семінар 23_0 .xlsx,11,20.0,0,0,37.42,0,0,58.5,75.0
24,Семінар 24_1 (Відповіді).xlsx,14,14.0,0,0,28.68,0,0,68.4,82.2
25,Семінар 25_0  - Семінар 25_4.csv,6,32.0,24.67,29.0,8.91,8.0,31.0,77.1,90.6
26,Семінар 26_0 (Відповіді) - Семінар 26_4.csv,3,30.0,20.33,20.0,4.51,16.0,25.0,67.8,66.7
27,Семінар 27_0 - Семінар 27_4.csv,2,15.0,6.5,6.5,3.54,4.0,9.0,43.4,43.4
28,Семінар 28_0  - Семінар 28_5.csv,1,46.0,20.0,20.0,0,20.0,20.0,43.5,43.5
29,Семінар 29_0  - Семінар 29_4.csv,3,22.0,14.33,17.0,4.62,9.0,17.0,65.2,77.3
30,Семінар 30_0  - Семінар 30_4.csv,1,33.0,11.0,11.0,0,11.0,11.0,33.3,33.3
31,Семінар 31_0 .xlsx,12,13.0,10.5,12.0,3.15,4.0,13.0,80.8,92.3
32,Семінар 32_0  - Відповіді форми (4).csv,3,28.0,23.33,23.0,2.52,21.0,26.0,83.3,82.1
33,Семінар 33_0  - Відповіді форми (1).csv,7,43.0,31.71,36.0,11.35,14.0,42.0,73.8,83.7
35,Семінар 35_0 - Семінар 35_1.csv,3,16.0,12.67,14.0,2.31,10.0,14.0,79.2,87.5
36,Семінар 36_Extra_Права - Відповіді форми (1).csv,5,46.0,27.4,21.0,10.64,19.0,43.0,59.6,45.7
37,Семінар 37_2016 - Відповіді форми (1).csv,15,90.0,45.6,43.0,24.35,17.0,85.0,50.7,47.8
39,Семінар 39_0  - Відповіді форми (1).csv,12,87.0,55.25,59.0,18.11,26.0,79.0,63.5,67.8
