seminar mean_pct median_pct N
1 65.0 67.2 18
2 64.3 53.3 17
3 70.7 74.5 8
4 77.3 80.2 14
5 73.5 82.1 14
6 63.7 60.9 13
7 80.9 76.8 18
9 63.5 69.2 20
10 81.0 91.8 9
11 86.2 84.6 7
12 77.1 83.2 7
13 94.2 94.2 2
14 80.0 90.7 8
15 71.2 81.5 13
16 67.5 68.5 23
17 75.2 80.0 27
18 53.2 50.0 7
19 61.7 64.8 16
20 66.8 76.1 8
21 56.7 52.0 15
22 75.2 78.6 8
23 58.5 75.0 11
24 68.4 82.2 14
25 77.1 90.6 6
26 67.8 66.7 3
27 43.4 43.4 2
28 43.5 43.5 1
29 65.2 77.3 3
30 33.3 33.3 1
31 80.8 92.3 12
32 83.3 82.1 3
33 73.8 83.7 7
35 79.2 87.5 3
36 59.6 45.7 5
37 50.7 47.8 15
39 63.5 67.8 12
